path,filename,ext,media_type,size_mb,filesystem_mtime,width,height,captured_at,lat,lon,sharpness,brightness,phash,quality_score,thumb_path,available_local,duration_s,error,date_source,year,country_code,country,city,admin1,location_source
C:\InstagramRebuild\SOURCE_INSTAGRAM\Instagram_01\Fotos en iCloud\01FBD663-94AA-4C9D-903A-EDDD0D15D921.jpg,01FBD663-94AA-4C9D-903A-EDDD0D15D921.jpg,.jpg,image,1.17,2026-09-05 00:48:10,1579.0,1579.0,2024-08-22 11:18:11,52.37671388888889,4.898386111111111,4965.206446850014,154.88804090739723,89c6b659786c3783,65.01694023403445,C:\InstagramRebuild\instagram_rebuild_mvp\data\thumbs\01FBD663-94AA-4C9D-903A-EDDD0D15D921_12162577.jpg,True,,,original_or_video,2024,NL,Países Bajos,Amsterdam,North Holland,gps
C:\InstagramRebuild\SOURCE_INSTAGRAM\Instagram_01\Fotos en iCloud\06EEFB07-D1AE-4DA9-93BD-3B1668AB372B.jpg,06EEFB07-D1AE-4DA9-93BD-3B1668AB372B.jpg,.jpg,image,2.124,2026-09-05 00:50:40,2312.0,2890.0,2024-03-14 10:56:18,-2.797005555555556,-40.51798611111112,1087.5964771927263,125.0887998046875,ca95ecb36870f1b0,76.38015972835011,C:\InstagramRebuild\instagram_rebuild_mvp\data\thumbs\06EEFB07-D1AE-4DA9-93BD-3B1668AB372B_94649270.jpg,True,,,original_or_video,2024,BR,Brasil,Camocim,Ceara,gps
C:\InstagramRebuild\SOURCE_INSTAGRAM\Instagram_01\Fotos en iCloud\076BB17B-4571-4C06-A0B7-ADF56ABBAE3B.jpg,076BB17B-4571-4C06-A0B7-ADF56ABBAE3B.jpg,.jpg,image,0.807,2026-09-05 00:44:50,1440.0,1920.0,2026-09-05 00:44:50,,,825.1629576336705,84.04102864583334,dfef02592136c88d,56.92406096682229,C:\InstagramRebuild\instagram_rebuild_mvp\data\thumbs\076BB17B-4571-4C06-A0B7-ADF56ABBAE3B_42363910.jpg,True,,,filesystem_fallback,2026,,,,,none
C:\InstagramRebuild\SOURCE_INSTAGRAM\Instagram_01\Fotos en iCloud\08272CA9-BCE9-4BDD-85E6-FB46C9F40BEF.jpg,08272CA9-BCE9-4BDD-85E6-FB46C9F40BEF.jpg,.jpg,image,1.32,2026-09-05 00:44:50,1440.0,1920.0,2026-09-05 00:44:50,,,3778.8448807774166,143.850403125,c926f8eac0ea61ea,67.22579490649606,C:\InstagramRebuild\instagram_rebuild_mvp\data\thumbs\08272CA9-BCE9-4BDD-85E6-FB46C9F40BEF_53707589.jpg,True,,,filesystem_fallback,2026,,,,,none
C:\InstagramRebuild\SOURCE_INSTAGRAM\Instagram_01\Fotos en iCloud\093B2273-D723-4F58-B2D7-943EFD9FCEB6.jpg,093B2273-D723-4F58-B2D7-943EFD9FCEB6.jpg,.jpg,image,1.028,2026-09-05 00:44:50,1440.0,1920.0,2026-09-05 00:44:50,,,1384.876684822185,109.23414166666667,9d9862ff18a6d823,62.80941642197591,C:\InstagramRebuild\instagram_rebuild_mvp\data\thumbs\093B2273-D723-4F58-B2D7-943EFD9FCEB6_27271909.jpg,True,,,filesystem_fallback,2026,,,,,none
C:\InstagramRebuild\SOURCE_INSTAGRAM\Instagram_01\Fotos en iCloud\0AA6259E-CE11-4B8D-B393-E77F17BAE010.jpg,0AA6259E-CE11-4B8D-B393-E77F17BAE010.jpg,.jpg,image,0.149,2026-09-05 00:43:28,750.0,1334.0,2026-09-05 00:43:28,,,147.89576436996404,100.53896351824088,888633da3d9b96b1,43.35294225445151,C:\InstagramRebuild\instagram_rebuild_mvp\data\thumbs\0AA6259E-CE11-4B8D-B393-E77F17BAE010_45832028.jpg,True,,,filesystem_fallback,2026,,,,,none
C:\InstagramRebuild\SOURCE_INSTAGRAM\Instagram_01\Fotos en iCloud\0B9CBFB9-D18A-40AE-B851-AB42C605F3CE.mov,0B9CBFB9-D18A-40AE-B851-AB42C605F3CE.mov,.mov,video,0.751,2026-09-05 00:41:46,,,2026-09-05 00:41:46,,,,,,35.0,,False,,ffprobe/ffmpeg no disponible o video no descargado: [WinError 2] El sistema no puede encontrar el archivo especificado,filesystem_fallback,2026,,,,,none
C:\InstagramRebuild\SOURCE_INSTAGRAM\Instagram_01\Fotos en iCloud\0D8E6B25-B940-464A-A77D-61CEC00B7077.jpg,0D8E6B25-B940-464A-A77D-61CEC00B7077.jpg,.jpg,image,0.771,2026-09-05 00:41:56,1620.0,2025.0,2024-08-23 19:35:58,37.44691111111111,25.326763888888888,496.7467194494704,149.55426123046874,85941fae6375d107,58.20287473420858,C:\InstagramRebuild\instagram_rebuild_mvp\data\thumbs\0D8E6B25-B940-464A-A77D-61CEC00B7077_24804918.jpg,True,,,original_or_video,2024,GR,Grecia,Mykonos,South Aegean,gps
C:\InstagramRebuild\SOURCE_INSTAGRAM\Instagram_01\Fotos en iCloud\0E68CD53-3D87-4CA3-8E49-5E9E2DB877F2.jpg,0E68CD53-3D87-4CA3-8E49-5E9E2DB877F2.jpg,.jpg,image,2.301,2026-09-05 00:45:00,3024.0,3780.0,2019-09-04 17:18:28,41.01756388888889,28.97487222222222,1052.1643837831014,123.1482841796875,fcc33c24b3ce1463,91.79496761532748,C:\InstagramRebuild\instagram_rebuild_mvp\data\thumbs\0E68CD53-3D87-4CA3-8E49-5E9E2DB877F2_11540335.jpg,True,,,original_or_video,2019,TR,Turquía,Eminoenue,Istanbul,gps
C:\InstagramRebuild\SOURCE_INSTAGRAM\Instagram_01\Fotos en iCloud\0F721E31-852C-49C5-B497-5616803792F3.jpg,0F721E31-852C-49C5-B497-5616803792F3.jpg,.jpg,image,0.968,2026-09-05 00:47:36,1320.0,2346.0,2025-09-14 17:42:41,,,602.8970676750344,118.24833680555555,94f0ca4b0fb6174e,60.307885174594304,C:\InstagramRebuild\instagram_rebuild_mvp\data\thumbs\0F721E31-852C-49C5-B497-5616803792F3_53917530.jpg,True,,,original_or_video,2025,,,,,none
